POINTS,FIRST_NAME,LAST_NAME,GENDER,TEAM
50,Michael,Stoop,M,CBC/Cannondale
50,David,Flynn,M,Veloshine Cycling Team
50,Daniel,King,M,CBC/Cannondale
50,Josh,Tucker,M,Clemmons Bicycle Racing
50,Andrew,Troy,M,CBC/Cannondale
50,Parker,Kyzer,M,Globalbike
50,Adam,Alexander,M,CRCA/Foundation
50,Bob,O'Gorman,M,Happy Tooth Racing
50,Giancarlo,Bianchi,M,AG BICYCLES / GUTTENPLAN COACHING
50,Iggy,Silva,M,Firefighters Cycling
50,Geron,Williams,M,CRCA/Foundation
50,Gavan,Samuel,M,Predator Cycling Carbon Repair
50,Nick,Patton,M,
50,Andrew,Buntz,M,Astellas Oncology
50,Luis,Zayas,M,EBP
50,Ryan,Aitcheson,M,Astellas Oncology
50,Gilberth,Gomez Valverde,M,Somerville Bicycle Shop p/b Showcase Auto Body
50,Grayson,Brookshire,M,Slipstream-Craddock Junior Development
50,Stevie,Cullinan,M,Optumas p/b CycloLogic
50,Luis,Sanchez,M,Team Greenville Cycling Racing
50,Ruud,Cremers,M,Novo Nordisk
50,Andrea,Cachini,M,Team Novo Nordisk
50,Thomas,Jondall,M,Landis/Trek
50,Alexander,Gil,M,AG BICYCLES / GUTTENPLAN COACHING
50,Yuri,Hrycaj,M,JetFuel Coffee/ Norco Bicycles
50,Ryan,Saylor,M,Gearlink Racing
50,Anthony,Hall,M,Champion System p/b Stan's NoTubes
50,Daniel,Mosquera,M,GearLink Racing
50,Nathan,Mitchell,M,Body by Vi p/b VeloVie
50,Joseph,Middleton,M,SBR Racing Elite team
50,Martin,Vecchio,M,Panther Bakehouse
50,Darren,Dowling,M,Sarasota Cycling Club
50,David,McCook,M,Team Clif Bar Cycling
50,Andres,Munera,M,Synergy
50,Michael,Jacques,M,Team Clif Bar Cycling
50,Davide,Frattini,M,UnitedHealthcare Pro Cycling
50,Peter,Eckel,M,Team Novo Nordisk Development
50,Allison,anjos,M,the best bike shop
50,Alejandro,Garcia,M,EBP
50,GUSTAVO,RULLO,M,
50,Andrew,Smith,M,
50,Fredd,Matute,M,unattached
50,Gunter,Hermani,M,EBP
50,Rainiel,Sanchez,M,Advanced Cycles Cycling Team
50,John,Puffer,M,Texas Roadhouse Cycling Team
50,Nate,Adler,M,Advanced Cycles Cycling Team
50,Isaac,Enderline,M,VeloShine Cycling Team
50,Calixto,Manuel,M,AG BICYCLES / GUTTENPLAN COACHING
50,Remi,Pelletier-Roy,M,Garneau-Quebecor
18,Andy,Scarano,M,United Healthcare GA p/b The 706 Project
